,name,description,team,battingStyle,bowlingStyle,playingRole,photo url
170,Shadab Khan,"Shadab has made an immediate impact; he only played his maiden first-class game ten months ago, in July 2016. His ability with the U-19 side caught PSL franchise Islamabad United's eye, who gave the young leggie a chance he accepted with aplomb. His performance during the competition won him praise from the likes of Wasim Akram and Misbah-ul-Haq, and saw him called up to Pakistan's limited-overs side for the tour to the West Indies. His meteoric rise continued as he flourished in the first two T20Is, taking seven wickets for 21 runs and winning the Man-of-the-Match award on both occasions.",Pakistan,Right hand Bat,Legbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320467.1.png"
171,Imad Wasim,,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320451.1.png"
172,Abbas Afridi,"Fast bowler Abbas Afridi first played List A cricket in 2018, but it was only when handed a T20 debut in the PSL that he finally found his calling. He finished as the top wicket-taker in the 2023 PSL with 23, off the back of which he immediately became a contender for a spot in the national side.",Pakistan,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322100/322158.1.png"
173,Shaheen Shah Afridi,"Riaz Afridi made his solitary Test performance for Pakistan in 2004, when Shaheen was just four years old. He pushed Shaheen to hard-ball cricket following years of the younger brother enjoying success in Pakistan's informal tape-ball circuit. In 2015, FATA selected him after an U-16 talent hunt programme. His pace, physique and fitness won him an U-16 tour of Australia, and since then, he's been progressing through the youth squads.",Pakistan,Left hand Bat,Left arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322250.1.png"
174,Mohammad Amir,"He began in 2009 with an impressive showing on the domestic circuit, impressing with his whippy pace and swing. He took 55 wickets for National Bank of Pakistan in his debut season, and earned selection to the Pakistan World T20 squad. There he hit the big time, taking over from an out-of-sorts Sohail Tanvir and bowling with pace, accuracy and courage.",Pakistan,Left hand Bat,Left arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320457.1.png"
175,Haris Rauf,"Growing up completely outside of the formal Pakistan cricket system, a 24-year-old Rauf showed up to audition for Lahore Qalandars' player development programme in 2017, having only played tape-ball cricket until that point. He caught everyone's eye with his extreme pace, and after a successful season with Qalandars and a whirlwind BBL summer, he was fast-tracked into the national side.",Pakistan,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322202.1.png"
176,George Munsey,"However, Munsey's self-realisation that he preferred a team environment over the individualistic nature of golf began to take shape while captaining the cricket team at the school. Upon graduation, he stayed in Edinburgh and continued to work his way up the ladder via club cricket.",Scotland,Left hand Bat,Right arm Medium fast,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320300/320365.1.png"
177,Michael Jones,"Jones finished the season with 878 runs at 51.64, top-scoring for his team in the Championship, having also added a T20 debut and a first hundred in List A cricket during the Royal London One-Day Cup. He subsequently went to the T20 World Cup with Scotland, who he was eligible for thanks to a Scottish mother, making 86 off 55 balls in their defeat to Ireland in Hobart. The following year, he was an ever-present member of the Championship XI as Durham ran away with the Division Two title.",Scotland,Right hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322400/322444.1.png"
178,Brandon McMullen,,Scotland,Right hand Bat,Right arm Medium,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392118.2.png"
179,Richie Berrington,"A batting allrounder who can bowl seam, Berrington was born in Pretoria but emigrated to Scotland as a youth and has been part of their set-up since his days in the Under-15 side. His early promise was clearly evident and as an 18 year old he was sent to India as part of the ICC's European Cricket Academy.",Scotland,Right hand Bat,Right arm Medium fast,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316587.1.png"
