,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,Match ID,balls
519,Nepal vs Netherlands,Netherlands,Logan van Beek,3.2,0,18,3,5.4,14,2,1,0,0,T20I # 2638,20
520,Nepal vs Netherlands,Netherlands,Paul van Meekeren,4.0,0,19,2,4.75,12,2,0,1,0,T20I # 2638,24
521,Nepal vs Netherlands,Netherlands,Bas de Leede,4.0,1,22,2,5.5,12,1,1,1,0,T20I # 2638,24
522,Nepal vs Netherlands,Nepal,Karan KC,3.0,0,17,0,5.66,10,3,0,0,0,T20I # 2638,18
523,Nepal vs Netherlands,Nepal,Sompal Kami,4.0,0,18,1,4.5,12,2,0,0,0,T20I # 2638,24
524,Nepal vs Netherlands,Nepal,Gulsan Jha,2.0,0,17,0,8.5,2,2,0,0,1,T20I # 2638,12
525,Nepal vs Netherlands,Nepal,Dipendra Singh Airee,2.0,0,6,1,3.0,7,0,0,0,0,T20I # 2638,12
526,Nepal vs Netherlands,Nepal,Abinash Bohara,3.4,0,29,1,7.9,5,2,1,0,0,T20I # 2638,22
527,Nepal vs Netherlands,Nepal,Sagar Dhakal,4.0,0,21,0,5.25,8,1,0,0,0,T20I # 2638,24
528,Afghanistan vs Uganda,Uganda,Alpesh Ramjani,4.0,0,33,1,8.25,9,0,2,0,0,T20I # 2636,24
529,Afghanistan vs Uganda,Uganda,Cosmas Kyewuta,4.0,0,25,2,6.25,9,2,0,0,0,T20I # 2636,24
530,Afghanistan vs Uganda,Uganda,Dinesh Nakrani,3.0,0,37,0,12.33,2,6,0,0,0,T20I # 2636,18
531,Afghanistan vs Uganda,Uganda,Bilal Hassan,2.0,0,34,0,17.0,3,4,1,1,1,T20I # 2636,12
532,Afghanistan vs Uganda,Uganda,Henry Ssenyondo,2.0,0,19,0,9.5,4,0,2,1,0,T20I # 2636,12
533,Afghanistan vs Uganda,Uganda,Riazat Ali Shah,1.0,0,11,0,11.0,1,1,0,0,0,T20I # 2636,6
534,Afghanistan vs Uganda,Uganda,Brian Masaba,4.0,0,21,2,5.25,8,0,0,0,0,T20I # 2636,24
535,Afghanistan vs Uganda,Afghanistan,Fazalhaq Farooqi,4.0,0,9,5,2.25,18,1,0,0,0,T20I # 2636,24
536,Afghanistan vs Uganda,Afghanistan,Mujeeb Ur Rahman,3.0,0,16,1,5.33,13,2,0,1,0,T20I # 2636,18
537,Afghanistan vs Uganda,Afghanistan,Naveen-ul-Haq,2.0,0,4,2,2.0,9,0,0,1,0,T20I # 2636,12
538,Afghanistan vs Uganda,Afghanistan,Azmatullah Omarzai,2.0,0,7,0,3.5,8,0,0,1,0,T20I # 2636,12
539,Afghanistan vs Uganda,Afghanistan,Rashid Khan,4.0,0,12,2,3.0,16,1,0,0,0,T20I # 2636,24
540,Afghanistan vs Uganda,Afghanistan,Mohammad Nabi,1.0,0,8,0,8.0,3,0,1,0,0,T20I # 2636,6
541,Sri Lanka vs South Africa,South Africa,Marco Jansen,3.1,0,15,0,4.73,11,0,1,1,0,T20I # 2635,19
542,Sri Lanka vs South Africa,South Africa,Kagiso Rabada,4.0,1,21,2,5.25,15,2,1,1,0,T20I # 2635,24
543,Sri Lanka vs South Africa,South Africa,Ottneil Baartman,4.0,1,9,1,2.25,20,1,0,1,0,T20I # 2635,24
544,Sri Lanka vs South Africa,South Africa,Keshav Maharaj,4.0,0,22,2,5.5,10,0,1,0,0,T20I # 2635,24
545,Sri Lanka vs South Africa,South Africa,Anrich Nortje,4.0,0,7,4,1.75,18,0,0,0,0,T20I # 2635,24
546,Sri Lanka vs South Africa,Sri Lanka,Angelo Mathews,3.0,0,16,0,5.33,11,1,1,1,0,T20I # 2635,18
547,Sri Lanka vs South Africa,Sri Lanka,Nuwan Thushara,3.0,0,18,1,6.0,8,0,1,0,1,T20I # 2635,18
548,Sri Lanka vs South Africa,Sri Lanka,Dasun Shanaka,3.0,1,6,1,2.0,12,0,0,0,0,T20I # 2635,18
549,Sri Lanka vs South Africa,Sri Lanka,Matheesha Pathirana,3.0,0,12,0,4.0,8,0,0,1,0,T20I # 2635,18
550,Sri Lanka vs South Africa,Sri Lanka,Wanindu Hasaranga,3.2,0,22,2,6.6,10,2,1,0,0,T20I # 2635,20
551,Sri Lanka vs South Africa,Sri Lanka,Maheesh Theekshana,1.0,0,3,0,3.0,3,0,0,0,0,T20I # 2635,6
552,Oman vs Namibia,Namibia,Ruben Trumpelmann,4.0,0,21,4,5.25,12,2,0,0,1,T20I # 2634,24
